Column1,Author Unique ID,Author Nickname,Verified?,Private Account?
0,coco224466,CoCo224466,FALSE,FALSE
1,bts_official_bighit,BTS,TRUE,FALSE
2,mimisskate,Kate Shumskaya,FALSE,FALSE
3,idaamayy,Idaa May Moore,FALSE,FALSE
4,d_elii,Elide D.,FALSE,FALSE
5,el.tigre.g,EF/GOMEZ15,FALSE,FALSE
6,cutepetowner,cutepetowner,FALSE,FALSE
7,tracy.oj,Tracy Joseph,FALSE,FALSE
8,mercuri_88,Manuel Mercuri,FALSE,FALSE
9,spicekingcam,Spice King,TRUE,FALSE
10,hammyandolivia,Hammy & Olivia Corgi,TRUE,FALSE
11,roses_are_rosie,ROSÉ,TRUE,FALSE
12,www9781,www9781,FALSE,FALSE
13,rubyflashy9,Ruby,FALSE,FALSE
14,babychrismom,Texas Girl,FALSE,FALSE
15,bhtyler98,user4739460964044,FALSE,FALSE
16,_shaylah__,Shaylah,FALSE,FALSE
17,christyjjordan22,Christy,FALSE,FALSE
18,ninahurd,Nina Hurd,FALSE,FALSE
19,mimisskate,Kate Shumskaya,FALSE,FALSE
20,spectrumfarm,SpectrumFarmLlama,FALSE,FALSE
21,tiktoklynnsmith,Tik Toker,FALSE,FALSE
22,mimisskate,Kate Shumskaya,FALSE,FALSE
23,gemaadelgado,Gema Delgado,FALSE,FALSE
24,twenty7heights,Twenty7heights,FALSE,FALSE
25,mimisskate,Kate Shumskaya,FALSE,FALSE
26,mimisskate,Kate Shumskaya,FALSE,FALSE
27,leytink,Nika Leytink,TRUE,FALSE
28,leytink,Nika Leytink,TRUE,FALSE
29,faiifaii003,ฝ้ายใช้เท้าแต่งหน้า,FALSE,FALSE
30,mikkipiki,Злой Пёс,TRUE,FALSE
31,basii_17,Basi,FALSE,FALSE
32,attixus,Anthony Atticus,FALSE,FALSE
33,moontellthat,MOONTELLTHAT,FALSE,FALSE
34,migitlivesmatter,Meme hub,FALSE,FALSE
35,picklesthecockatoo,picklesthecockatoo,FALSE,FALSE
36,theglobalanimalsworld,TheGlobalAnimalsWorld,FALSE,FALSE
37,_gordonwatkins,Gordon Watkins,FALSE,FALSE
38,dancingnathan,Tina,FALSE,FALSE
39,_dari_dobro_bro_,_dari_dobro_bro_,FALSE,FALSE
40,dixieloutheboston,DixieLouTheBoston&Family,FALSE,FALSE
41,gmoney1289,Greg Pietrantonio,FALSE,FALSE
42,latiktokeuse869,Latiktokeuse87,FALSE,FALSE
43,littel_johnny,Littel Johnny,FALSE,FALSE
44,thepetcollective,The Pet Collective,TRUE,FALSE
45,mariabravo2991,mariabravo2991,FALSE,FALSE
46,reese076,Reese Camlin,FALSE,FALSE
47,briro.xo,briro.xo,FALSE,FALSE
48,muusacat,Muusacat,FALSE,FALSE
49,cozy_boy_21,Cozy_boy_21,FALSE,FALSE
50,user4350486101671,user4350486101671,FALSE,FALSE
51,latiktokeuse869,Latiktokeuse87,FALSE,FALSE
52,addisonre,Addison Rae,TRUE,FALSE
53,justinderek4,Justin Derek,FALSE,FALSE
54,sophialee1997,Sophia Lee,FALSE,FALSE
55,lyndsey.pace,lyndsey.rae,FALSE,FALSE
56,jhem84,JHem84,FALSE,FALSE
57,murat__noyan,Murat Noyan,FALSE,FALSE
58,adry.magadan,Baby Yoda BACH,FALSE,FALSE
59,dianarantamaki,Diana Rantamäki🇵🇭🇫🇮,TRUE,FALSE
60,cacha.7.griselda,cachita7gri,FALSE,FALSE
61,itsurboironaldo,Hahahahhahaha,FALSE,FALSE
62,kallmekris,Kris HC,TRUE,FALSE
63,itsbsd,B.😋🙃🤗🤨🙄🤪,TRUE,FALSE
64,abuod_wishah,Abúöd Wïshâh,FALSE,FALSE
65,iamdp_,Dp,FALSE,FALSE
66,lady_of_cuteness,Lovely Lady,FALSE,FALSE
67,mrgriffis,Ryan Griffis,FALSE,FALSE
68,psg,psg,TRUE,FALSE
69,kirito_jose1,Kirito_jose1,FALSE,FALSE
70,momma_mandy_plus7,Mandy Perkins,FALSE,FALSE
71,jessicaalba,Yo Mama,TRUE,FALSE
72,centurymedicalcenter,centurymedicalcenter,FALSE,FALSE
73,billieeilish,BILLIE EILISH,TRUE,FALSE
74,_guzi_,Гульзана,TRUE,FALSE
75,hayndkay_mom,Boymom_of2,FALSE,FALSE
76,sergeirdz,Sergei Ricardez,FALSE,FALSE
77,jt23hoopin,Jachai Taylor,FALSE,FALSE
78,mrs.mommabruce,Erica B.,FALSE,FALSE
79,paky__official,🔥Paky🔥,FALSE,FALSE
80,tiktokbrownchick,Shuba,TRUE,FALSE
81,psg,psg,TRUE,FALSE
82,lauraclery,Laura Clery,TRUE,FALSE
83,leytink,Nika Leytink,TRUE,FALSE
84,memehub700.0,memehub700.0,FALSE,FALSE
85,kikthenick,kikthenick,FALSE,FALSE
86,theliceangels,The Lice Angels,FALSE,FALSE
87,allisonsherer1,Allison Sherer,FALSE,FALSE
88,erikabuenfiloficial,Erika Buenfil,TRUE,FALSE
89,therealmajorjay,J. Bandsxme,FALSE,FALSE
90,thekittyshome,thekittyshome,FALSE,FALSE
91,beastlybadwolf,⚜️ W O L F ⚜️,FALSE,FALSE
92,imanbadboy1992,imanBadboy1992,FALSE,FALSE
93,iamcardib,Cardi B,TRUE,FALSE
94,mafishguy,Fishing Guy,FALSE,FALSE
95,adrien_nunez,Adrien Nunez,TRUE,FALSE
96,gabriel121180,gabriel121180,FALSE,FALSE
97,lifewithkleekai,lifewithkleekai,TRUE,FALSE
98,terrythe4th,terrythe4th,FALSE,FALSE
99,highlinek,Highlinek,FALSE,FALSE